	region_code	region	death	date
3243	4	Trentino-Alto Adige/Südtirol	26	2016-02-12
3244	5	Veneto	150	2016-02-12
3245	6	Friuli-Venezia Giulia	49	2016-02-12
3246	7	Liguria	55	2016-02-12
3247	8	Emilia-Romagna	133	2016-02-12
3248	9	Toscana	126	2016-02-12
3249	10	Umbria	26	2016-02-12
3250	11	Marche	57	2016-02-12
3251	12	Lazio	150	2016-02-12
3252	13	Abruzzo	47	2016-02-12
3253	14	Molise	12	2016-02-12
3254	15	Campania	148	2016-02-12
3255	16	Puglia	102	2016-02-12
3256	17	Basilicata	19	2016-02-12
3257	18	Calabria	60	2016-02-12
3258	19	Sicilia	158	2016-02-12
3259	20	Sardegna	43	2016-02-12
3260	1	Piemonte	155	2016-02-13
3261	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-13
3262	3	Lombardia	254	2016-02-13
3263	4	Trentino-Alto Adige/Südtirol	26	2016-02-13
3264	5	Veneto	150	2016-02-13
3265	6	Friuli-Venezia Giulia	49	2016-02-13
3266	7	Liguria	55	2016-02-13
3267	8	Emilia-Romagna	133	2016-02-13
3268	9	Toscana	126	2016-02-13
3269	10	Umbria	26	2016-02-13
3270	11	Marche	57	2016-02-13
3271	12	Lazio	150	2016-02-13
3272	13	Abruzzo	47	2016-02-13
3273	14	Molise	12	2016-02-13
3274	15	Campania	148	2016-02-13
3275	16	Puglia	102	2016-02-13
3276	17	Basilicata	19	2016-02-13
3277	18	Calabria	60	2016-02-13
3278	19	Sicilia	158	2016-02-13
3279	20	Sardegna	43	2016-02-13
3280	1	Piemonte	155	2016-02-14
3281	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-14
3282	3	Lombardia	254	2016-02-14
3283	4	Trentino-Alto Adige/Südtirol	26	2016-02-14
3284	5	Veneto	150	2016-02-14
3285	6	Friuli-Venezia Giulia	49	2016-02-14
3286	7	Liguria	55	2016-02-14
3287	8	Emilia-Romagna	133	2016-02-14
3288	9	Toscana	126	2016-02-14
3289	10	Umbria	26	2016-02-14
3290	11	Marche	57	2016-02-14
3291	12	Lazio	150	2016-02-14
3292	13	Abruzzo	47	2016-02-14
3293	14	Molise	12	2016-02-14
3294	15	Campania	148	2016-02-14
3295	16	Puglia	102	2016-02-14
3296	17	Basilicata	19	2016-02-14
3297	18	Calabria	60	2016-02-14
3298	19	Sicilia	158	2016-02-14
3299	20	Sardegna	43	2016-02-14
3300	1	Piemonte	155	2016-02-15
3301	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-15
3302	3	Lombardia	254	2016-02-15
3303	4	Trentino-Alto Adige/Südtirol	26	2016-02-15
3304	5	Veneto	150	2016-02-15
3305	6	Friuli-Venezia Giulia	49	2016-02-15
3306	7	Liguria	55	2016-02-15
3307	8	Emilia-Romagna	133	2016-02-15
3308	9	Toscana	126	2016-02-15
3309	10	Umbria	26	2016-02-15
3310	11	Marche	57	2016-02-15
3311	12	Lazio	150	2016-02-15
3312	13	Abruzzo	47	2016-02-15
3313	14	Molise	12	2016-02-15
3314	15	Campania	148	2016-02-15
3315	16	Puglia	102	2016-02-15
3316	17	Basilicata	19	2016-02-15
3317	18	Calabria	60	2016-02-15
3318	19	Sicilia	158	2016-02-15
3319	20	Sardegna	43	2016-02-15
3320	1	Piemonte	155	2016-02-16
3321	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-16
3322	3	Lombardia	254	2016-02-16
3323	4	Trentino-Alto Adige/Südtirol	26	2016-02-16
3324	5	Veneto	150	2016-02-16
3325	6	Friuli-Venezia Giulia	49	2016-02-16
3326	7	Liguria	55	2016-02-16
3327	8	Emilia-Romagna	133	2016-02-16
3328	9	Toscana	126	2016-02-16
3329	10	Umbria	26	2016-02-16
3330	11	Marche	57	2016-02-16
3331	12	Lazio	150	2016-02-16
3332	13	Abruzzo	47	2016-02-16
3333	14	Molise	12	2016-02-16
3334	15	Campania	148	2016-02-16
3335	16	Puglia	102	2016-02-16
3336	17	Basilicata	19	2016-02-16
3337	18	Calabria	60	2016-02-16
3338	19	Sicilia	158	2016-02-16
3339	20	Sardegna	43	2016-02-16
3340	1	Piemonte	155	2016-02-17
3341	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-17
3342	3	Lombardia	254	2016-02-17
3343	4	Trentino-Alto Adige/Südtirol	26	2016-02-17
3344	5	Veneto	150	2016-02-17
3345	6	Friuli-Venezia Giulia	49	2016-02-17
3346	7	Liguria	55	2016-02-17
3347	8	Emilia-Romagna	133	2016-02-17
3348	9	Toscana	126	2016-02-17
3349	10	Umbria	26	2016-02-17
3350	11	Marche	57	2016-02-17
3351	12	Lazio	150	2016-02-17
3352	13	Abruzzo	47	2016-02-17
3353	14	Molise	12	2016-02-17
3354	15	Campania	148	2016-02-17
3355	16	Puglia	102	2016-02-17
3356	17	Basilicata	19	2016-02-17
3357	18	Calabria	60	2016-02-17
3358	19	Sicilia	158	2016-02-17
3359	20	Sardegna	43	2016-02-17
3360	1	Piemonte	155	2016-02-18
3361	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-18
3362	3	Lombardia	254	2016-02-18
3363	4	Trentino-Alto Adige/Südtirol	26	2016-02-18
3364	5	Veneto	150	2016-02-18
3365	6	Friuli-Venezia Giulia	49	2016-02-18
3366	7	Liguria	55	2016-02-18
3367	8	Emilia-Romagna	133	2016-02-18
3368	9	Toscana	126	2016-02-18
3369	10	Umbria	26	2016-02-18
3370	11	Marche	57	2016-02-18
3371	12	Lazio	150	2016-02-18
3372	13	Abruzzo	47	2016-02-18
3373	14	Molise	12	2016-02-18
3374	15	Campania	148	2016-02-18
3375	16	Puglia	102	2016-02-18
3376	17	Basilicata	19	2016-02-18
3377	18	Calabria	60	2016-02-18
3378	19	Sicilia	158	2016-02-18
3379	20	Sardegna	43	2016-02-18
3380	1	Piemonte	155	2016-02-19
3381	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-19
3382	3	Lombardia	254	2016-02-19
3383	4	Trentino-Alto Adige/Südtirol	26	2016-02-19
3384	5	Veneto	150	2016-02-19
3385	6	Friuli-Venezia Giulia	49	2016-02-19
3386	7	Liguria	55	2016-02-19
3387	8	Emilia-Romagna	133	2016-02-19
3388	9	Toscana	126	2016-02-19
3389	10	Umbria	26	2016-02-19
3390	11	Marche	57	2016-02-19
3391	12	Lazio	150	2016-02-19
3392	13	Abruzzo	47	2016-02-19
3393	14	Molise	12	2016-02-19
3394	15	Campania	148	2016-02-19
3395	16	Puglia	102	2016-02-19
3396	17	Basilicata	19	2016-02-19
3397	18	Calabria	60	2016-02-19
3398	19	Sicilia	158	2016-02-19
3399	20	Sardegna	43	2016-02-19
3400	1	Piemonte	155	2016-02-20
3401	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-20
3402	3	Lombardia	254	2016-02-20
3403	4	Trentino-Alto Adige/Südtirol	26	2016-02-20
3404	5	Veneto	150	2016-02-20
3405	6	Friuli-Venezia Giulia	49	2016-02-20
3406	7	Liguria	55	2016-02-20
3407	8	Emilia-Romagna	133	2016-02-20
3408	9	Toscana	126	2016-02-20
3409	10	Umbria	26	2016-02-20
3410	11	Marche	57	2016-02-20
3411	12	Lazio	150	2016-02-20
3412	13	Abruzzo	47	2016-02-20
3413	14	Molise	12	2016-02-20
3414	15	Campania	148	2016-02-20
3415	16	Puglia	102	2016-02-20
3416	17	Basilicata	19	2016-02-20
3417	18	Calabria	60	2016-02-20
3418	19	Sicilia	158	2016-02-20
3419	20	Sardegna	43	2016-02-20
3420	1	Piemonte	155	2016-02-21
3421	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-21
3422	3	Lombardia	254	2016-02-21
3423	4	Trentino-Alto Adige/Südtirol	26	2016-02-21
3424	5	Veneto	150	2016-02-21
3425	6	Friuli-Venezia Giulia	49	2016-02-21
3426	7	Liguria	55	2016-02-21
3427	8	Emilia-Romagna	133	2016-02-21
3428	9	Toscana	126	2016-02-21
3429	10	Umbria	26	2016-02-21
3430	11	Marche	57	2016-02-21
3431	12	Lazio	150	2016-02-21
3432	13	Abruzzo	47	2016-02-21
3433	14	Molise	12	2016-02-21
3434	15	Campania	148	2016-02-21
3435	16	Puglia	102	2016-02-21
3436	17	Basilicata	19	2016-02-21
3437	18	Calabria	60	2016-02-21
3438	19	Sicilia	158	2016-02-21
3439	20	Sardegna	43	2016-02-21
3440	1	Piemonte	155	2016-02-22
3441	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-22
3442	3	Lombardia	254	2016-02-22
3443	4	Trentino-Alto Adige/Südtirol	26	2016-02-22
3444	5	Veneto	150	2016-02-22
3445	6	Friuli-Venezia Giulia	49	2016-02-22
3446	7	Liguria	55	2016-02-22
3447	8	Emilia-Romagna	133	2016-02-22
3448	9	Toscana	126	2016-02-22
3449	10	Umbria	26	2016-02-22
3450	11	Marche	57	2016-02-22
3451	12	Lazio	150	2016-02-22
3452	13	Abruzzo	47	2016-02-22
3453	14	Molise	12	2016-02-22
3454	15	Campania	148	2016-02-22
3455	16	Puglia	102	2016-02-22
3456	17	Basilicata	19	2016-02-22
3457	18	Calabria	60	2016-02-22
3458	19	Sicilia	158	2016-02-22
3459	20	Sardegna	43	2016-02-22
3460	1	Piemonte	155	2016-02-23
3461	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-23
3462	3	Lombardia	254	2016-02-23
3463	4	Trentino-Alto Adige/Südtirol	26	2016-02-23
3464	5	Veneto	150	2016-02-23
3465	6	Friuli-Venezia Giulia	49	2016-02-23
3466	7	Liguria	55	2016-02-23
3467	8	Emilia-Romagna	133	2016-02-23
3468	9	Toscana	126	2016-02-23
3469	10	Umbria	26	2016-02-23
3470	11	Marche	57	2016-02-23
3471	12	Lazio	150	2016-02-23
3472	13	Abruzzo	47	2016-02-23
3473	14	Molise	12	2016-02-23
3474	15	Campania	148	2016-02-23
3475	16	Puglia	102	2016-02-23
3476	17	Basilicata	19	2016-02-23
3477	18	Calabria	60	2016-02-23
3478	19	Sicilia	158	2016-02-23
3479	20	Sardegna	43	2016-02-23
3480	1	Piemonte	155	2016-02-24
3481	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-24
3482	3	Lombardia	254	2016-02-24
3483	4	Trentino-Alto Adige/Südtirol	26	2016-02-24
3484	5	Veneto	150	2016-02-24
3485	6	Friuli-Venezia Giulia	49	2016-02-24
3486	7	Liguria	55	2016-02-24
3487	8	Emilia-Romagna	133	2016-02-24
3488	9	Toscana	126	2016-02-24
3489	10	Umbria	26	2016-02-24
3490	11	Marche	57	2016-02-24
3491	12	Lazio	150	2016-02-24
3492	13	Abruzzo	47	2016-02-24
3493	14	Molise	12	2016-02-24
3494	15	Campania	148	2016-02-24
3495	16	Puglia	102	2016-02-24
3496	17	Basilicata	19	2016-02-24
3497	18	Calabria	60	2016-02-24
3498	19	Sicilia	158	2016-02-24
3499	20	Sardegna	43	2016-02-24
3500	1	Piemonte	155	2016-02-25
3501	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-25
3502	3	Lombardia	254	2016-02-25
3503	4	Trentino-Alto Adige/Südtirol	26	2016-02-25
3504	5	Veneto	150	2016-02-25
3505	6	Friuli-Venezia Giulia	49	2016-02-25
3506	7	Liguria	55	2016-02-25
3507	8	Emilia-Romagna	133	2016-02-25
3508	9	Toscana	126	2016-02-25
3509	10	Umbria	26	2016-02-25
3510	11	Marche	57	2016-02-25
3511	12	Lazio	150	2016-02-25
3512	13	Abruzzo	47	2016-02-25
3513	14	Molise	12	2016-02-25
3514	15	Campania	148	2016-02-25
3515	16	Puglia	102	2016-02-25
3516	17	Basilicata	19	2016-02-25
3517	18	Calabria	60	2016-02-25
3518	19	Sicilia	158	2016-02-25
3519	20	Sardegna	43	2016-02-25
3520	1	Piemonte	155	2016-02-26
3521	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-26
3522	3	Lombardia	254	2016-02-26
3523	4	Trentino-Alto Adige/Südtirol	26	2016-02-26
3524	5	Veneto	150	2016-02-26
3525	6	Friuli-Venezia Giulia	49	2016-02-26
3526	7	Liguria	55	2016-02-26
3527	8	Emilia-Romagna	133	2016-02-26
3528	9	Toscana	126	2016-02-26
3529	10	Umbria	26	2016-02-26
3530	11	Marche	57	2016-02-26
3531	12	Lazio	150	2016-02-26
3532	13	Abruzzo	47	2016-02-26
3533	14	Molise	12	2016-02-26
3534	15	Campania	148	2016-02-26
3535	16	Puglia	102	2016-02-26
3536	17	Basilicata	19	2016-02-26
3537	18	Calabria	60	2016-02-26
3538	19	Sicilia	158	2016-02-26
3539	20	Sardegna	43	2016-02-26
3540	1	Piemonte	155	2016-02-27
3541	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-27
3542	3	Lombardia	254	2016-02-27
3543	4	Trentino-Alto Adige/Südtirol	26	2016-02-27
3544	5	Veneto	150	2016-02-27
3545	6	Friuli-Venezia Giulia	49	2016-02-27
3546	7	Liguria	55	2016-02-27
3547	8	Emilia-Romagna	133	2016-02-27
3548	9	Toscana	126	2016-02-27
3549	10	Umbria	26	2016-02-27
3550	11	Marche	57	2016-02-27
3551	12	Lazio	150	2016-02-27
3552	13	Abruzzo	47	2016-02-27
3553	14	Molise	12	2016-02-27
3554	15	Campania	148	2016-02-27
3555	16	Puglia	102	2016-02-27
3556	17	Basilicata	19	2016-02-27
3557	18	Calabria	60	2016-02-27
3558	19	Sicilia	158	2016-02-27
3559	20	Sardegna	43	2016-02-27
3560	1	Piemonte	155	2016-02-28
3561	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-28
3562	3	Lombardia	254	2016-02-28
3563	4	Trentino-Alto Adige/Südtirol	26	2016-02-28
3564	5	Veneto	150	2016-02-28
3565	6	Friuli-Venezia Giulia	49	2016-02-28
3566	7	Liguria	55	2016-02-28
3567	8	Emilia-Romagna	133	2016-02-28
3568	9	Toscana	126	2016-02-28
3569	10	Umbria	26	2016-02-28
3570	11	Marche	57	2016-02-28
3571	12	Lazio	150	2016-02-28
3572	13	Abruzzo	47	2016-02-28
3573	14	Molise	12	2016-02-28
3574	15	Campania	148	2016-02-28
3575	16	Puglia	102	2016-02-28
3576	17	Basilicata	19	2016-02-28
3577	18	Calabria	60	2016-02-28
3578	19	Sicilia	158	2016-02-28
3579	20	Sardegna	43	2016-02-28
3580	1	Piemonte	155	2016-02-29
3581	2	Valle d'Aosta/Vallée d'Aoste	4	2016-02-29
3582	3	Lombardia	254	2016-02-29
3583	4	Trentino-Alto Adige/Südtirol	26	2016-02-29
3584	5	Veneto	150	2016-02-29
3585	6	Friuli-Venezia Giulia	49	2016-02-29
3586	7	Liguria	55	2016-02-29
3587	8	Emilia-Romagna	133	2016-02-29
3588	9	Toscana	126	2016-02-29
3589	10	Umbria	26	2016-02-29
3590	11	Marche	57	2016-02-29
3591	12	Lazio	150	2016-02-29
3592	13	Abruzzo	47	2016-02-29
3593	14	Molise	12	2016-02-29
3594	15	Campania	148	2016-02-29
3595	16	Puglia	102	2016-02-29
3596	17	Basilicata	19	2016-02-29
3597	18	Calabria	60	2016-02-29
3598	19	Sicilia	158	2016-02-29
3599	20	Sardegna	43	2016-02-29
3600	1	Piemonte	164	2016-03-01
3601	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-01
3602	3	Lombardia	267	2016-03-01
3603	4	Trentino-Alto Adige/Südtirol	43	2016-03-01
3604	5	Veneto	153	2016-03-01
3605	6	Friuli-Venezia Giulia	48	2016-03-01
3606	7	Liguria	52	2016-03-01
3607	8	Emilia-Romagna	142	2016-03-01
3608	9	Toscana	131	2016-03-01
3609	10	Umbria	33	2016-03-01
3610	11	Marche	48	2016-03-01
3611	12	Lazio	170	2016-03-01
3612	13	Abruzzo	30	2016-03-01
3613	14	Molise	14	2016-03-01
3614	15	Campania	174	2016-03-01
3615	16	Puglia	112	2016-03-01
3616	17	Basilicata	12	2016-03-01
3617	18	Calabria	60	2016-03-01
3618	19	Sicilia	175	2016-03-01
3619	20	Sardegna	59	2016-03-01
3620	1	Piemonte	164	2016-03-02
3621	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-02
3622	3	Lombardia	267	2016-03-02
3623	4	Trentino-Alto Adige/Südtirol	43	2016-03-02
3624	5	Veneto	153	2016-03-02
3625	6	Friuli-Venezia Giulia	48	2016-03-02
3626	7	Liguria	52	2016-03-02
3627	8	Emilia-Romagna	142	2016-03-02
3628	9	Toscana	131	2016-03-02
3629	10	Umbria	33	2016-03-02
3630	11	Marche	48	2016-03-02
3631	12	Lazio	170	2016-03-02
3632	13	Abruzzo	30	2016-03-02
3633	14	Molise	14	2016-03-02
3634	15	Campania	174	2016-03-02
3635	16	Puglia	112	2016-03-02
3636	17	Basilicata	12	2016-03-02
3637	18	Calabria	60	2016-03-02
3638	19	Sicilia	175	2016-03-02
3639	20	Sardegna	59	2016-03-02
3640	1	Piemonte	164	2016-03-03
3641	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-03
3642	3	Lombardia	267	2016-03-03
3643	4	Trentino-Alto Adige/Südtirol	43	2016-03-03
3644	5	Veneto	153	2016-03-03
3645	6	Friuli-Venezia Giulia	48	2016-03-03
3646	7	Liguria	52	2016-03-03
3647	8	Emilia-Romagna	142	2016-03-03
3648	9	Toscana	131	2016-03-03
3649	10	Umbria	33	2016-03-03
3650	11	Marche	48	2016-03-03
3651	12	Lazio	170	2016-03-03
3652	13	Abruzzo	30	2016-03-03
3653	14	Molise	14	2016-03-03
3654	15	Campania	174	2016-03-03
3655	16	Puglia	112	2016-03-03
3656	17	Basilicata	12	2016-03-03
3657	18	Calabria	60	2016-03-03
3658	19	Sicilia	175	2016-03-03
3659	20	Sardegna	59	2016-03-03
3660	1	Piemonte	164	2016-03-04
3661	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-04
3662	3	Lombardia	267	2016-03-04
3663	4	Trentino-Alto Adige/Südtirol	43	2016-03-04
3664	5	Veneto	153	2016-03-04
3665	6	Friuli-Venezia Giulia	48	2016-03-04
3666	7	Liguria	52	2016-03-04
3667	8	Emilia-Romagna	142	2016-03-04
3668	9	Toscana	131	2016-03-04
3669	10	Umbria	33	2016-03-04
3670	11	Marche	48	2016-03-04
3671	12	Lazio	170	2016-03-04
3672	13	Abruzzo	30	2016-03-04
3673	14	Molise	14	2016-03-04
3674	15	Campania	174	2016-03-04
3675	16	Puglia	112	2016-03-04
3676	17	Basilicata	12	2016-03-04
3677	18	Calabria	60	2016-03-04
3678	19	Sicilia	175	2016-03-04
3679	20	Sardegna	59	2016-03-04
3680	1	Piemonte	164	2016-03-05
3681	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-05
3682	3	Lombardia	267	2016-03-05
3683	4	Trentino-Alto Adige/Südtirol	43	2016-03-05
3684	5	Veneto	153	2016-03-05
3685	6	Friuli-Venezia Giulia	48	2016-03-05
3686	7	Liguria	52	2016-03-05
3687	8	Emilia-Romagna	142	2016-03-05
3688	9	Toscana	131	2016-03-05
3689	10	Umbria	33	2016-03-05
3690	11	Marche	48	2016-03-05
3691	12	Lazio	170	2016-03-05
3692	13	Abruzzo	30	2016-03-05
3693	14	Molise	14	2016-03-05
3694	15	Campania	174	2016-03-05
3695	16	Puglia	112	2016-03-05
3696	17	Basilicata	12	2016-03-05
3697	18	Calabria	60	2016-03-05
3698	19	Sicilia	175	2016-03-05
3699	20	Sardegna	59	2016-03-05
3700	1	Piemonte	164	2016-03-06
3701	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-06
3702	3	Lombardia	267	2016-03-06
3703	4	Trentino-Alto Adige/Südtirol	43	2016-03-06
3704	5	Veneto	153	2016-03-06
3705	6	Friuli-Venezia Giulia	48	2016-03-06
3706	7	Liguria	52	2016-03-06
3707	8	Emilia-Romagna	142	2016-03-06
3708	9	Toscana	131	2016-03-06
3709	10	Umbria	33	2016-03-06
3710	11	Marche	48	2016-03-06
3711	12	Lazio	170	2016-03-06
3712	13	Abruzzo	30	2016-03-06
3713	14	Molise	14	2016-03-06
3714	15	Campania	174	2016-03-06
3715	16	Puglia	112	2016-03-06
3716	17	Basilicata	12	2016-03-06
3717	18	Calabria	60	2016-03-06
3718	19	Sicilia	175	2016-03-06
3719	20	Sardegna	59	2016-03-06
3720	1	Piemonte	164	2016-03-07
3721	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-07
3722	3	Lombardia	267	2016-03-07
3723	4	Trentino-Alto Adige/Südtirol	43	2016-03-07
3724	5	Veneto	153	2016-03-07
3725	6	Friuli-Venezia Giulia	48	2016-03-07
3726	7	Liguria	52	2016-03-07
3727	8	Emilia-Romagna	142	2016-03-07
3728	9	Toscana	131	2016-03-07
3729	10	Umbria	33	2016-03-07
3730	11	Marche	48	2016-03-07
3731	12	Lazio	170	2016-03-07
3732	13	Abruzzo	30	2016-03-07
3733	14	Molise	14	2016-03-07
3734	15	Campania	174	2016-03-07
3735	16	Puglia	112	2016-03-07
3736	17	Basilicata	12	2016-03-07
3737	18	Calabria	60	2016-03-07
3738	19	Sicilia	175	2016-03-07
3739	20	Sardegna	59	2016-03-07
3740	1	Piemonte	164	2016-03-08
3741	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-08
3742	3	Lombardia	267	2016-03-08
3743	4	Trentino-Alto Adige/Südtirol	43	2016-03-08
3744	5	Veneto	153	2016-03-08
3745	6	Friuli-Venezia Giulia	48	2016-03-08
3746	7	Liguria	52	2016-03-08
3747	8	Emilia-Romagna	142	2016-03-08
3748	9	Toscana	131	2016-03-08
3749	10	Umbria	33	2016-03-08
3750	11	Marche	48	2016-03-08
3751	12	Lazio	170	2016-03-08
3752	13	Abruzzo	30	2016-03-08
3753	14	Molise	14	2016-03-08
3754	15	Campania	174	2016-03-08
3755	16	Puglia	112	2016-03-08
3756	17	Basilicata	12	2016-03-08
3757	18	Calabria	60	2016-03-08
3758	19	Sicilia	175	2016-03-08
3759	20	Sardegna	59	2016-03-08
3760	1	Piemonte	164	2016-03-09
3761	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-09
3762	3	Lombardia	267	2016-03-09
3763	4	Trentino-Alto Adige/Südtirol	43	2016-03-09
3764	5	Veneto	153	2016-03-09
3765	6	Friuli-Venezia Giulia	48	2016-03-09
3766	7	Liguria	52	2016-03-09
3767	8	Emilia-Romagna	142	2016-03-09
3768	9	Toscana	131	2016-03-09
3769	10	Umbria	33	2016-03-09
3770	11	Marche	48	2016-03-09
3771	12	Lazio	170	2016-03-09
3772	13	Abruzzo	30	2016-03-09
3773	14	Molise	14	2016-03-09
3774	15	Campania	174	2016-03-09
3775	16	Puglia	112	2016-03-09
3776	17	Basilicata	12	2016-03-09
3777	18	Calabria	60	2016-03-09
3778	19	Sicilia	175	2016-03-09
3779	20	Sardegna	59	2016-03-09
3780	1	Piemonte	164	2016-03-10
3781	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-10
3782	3	Lombardia	267	2016-03-10
3783	4	Trentino-Alto Adige/Südtirol	43	2016-03-10
3784	5	Veneto	153	2016-03-10
3785	6	Friuli-Venezia Giulia	48	2016-03-10
3786	7	Liguria	52	2016-03-10
3787	8	Emilia-Romagna	142	2016-03-10
3788	9	Toscana	131	2016-03-10
3789	10	Umbria	33	2016-03-10
3790	11	Marche	48	2016-03-10
3791	12	Lazio	170	2016-03-10
3792	13	Abruzzo	30	2016-03-10
3793	14	Molise	14	2016-03-10
3794	15	Campania	174	2016-03-10
3795	16	Puglia	112	2016-03-10
3796	17	Basilicata	12	2016-03-10
3797	18	Calabria	60	2016-03-10
3798	19	Sicilia	175	2016-03-10
3799	20	Sardegna	59	2016-03-10
3800	1	Piemonte	164	2016-03-11
3801	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-11
3802	3	Lombardia	267	2016-03-11
3803	4	Trentino-Alto Adige/Südtirol	43	2016-03-11
3804	5	Veneto	153	2016-03-11
3805	6	Friuli-Venezia Giulia	48	2016-03-11
3806	7	Liguria	52	2016-03-11
3807	8	Emilia-Romagna	142	2016-03-11
3808	9	Toscana	131	2016-03-11
3809	10	Umbria	33	2016-03-11
3810	11	Marche	48	2016-03-11
3811	12	Lazio	170	2016-03-11
3812	13	Abruzzo	30	2016-03-11
3813	14	Molise	14	2016-03-11
3814	15	Campania	174	2016-03-11
3815	16	Puglia	112	2016-03-11
3816	17	Basilicata	12	2016-03-11
3817	18	Calabria	60	2016-03-11
3818	19	Sicilia	175	2016-03-11
3819	20	Sardegna	59	2016-03-11
3820	1	Piemonte	164	2016-03-12
3821	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-12
3822	3	Lombardia	267	2016-03-12
3823	4	Trentino-Alto Adige/Südtirol	43	2016-03-12
3824	5	Veneto	153	2016-03-12
3825	6	Friuli-Venezia Giulia	48	2016-03-12
3826	7	Liguria	52	2016-03-12
3827	8	Emilia-Romagna	142	2016-03-12
3828	9	Toscana	131	2016-03-12
3829	10	Umbria	33	2016-03-12
3830	11	Marche	48	2016-03-12
3831	12	Lazio	170	2016-03-12
3832	13	Abruzzo	30	2016-03-12
3833	14	Molise	14	2016-03-12
3834	15	Campania	174	2016-03-12
3835	16	Puglia	112	2016-03-12
3836	17	Basilicata	12	2016-03-12
3837	18	Calabria	60	2016-03-12
3838	19	Sicilia	175	2016-03-12
3839	20	Sardegna	59	2016-03-12
3840	1	Piemonte	164	2016-03-13
3841	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-13
3842	3	Lombardia	267	2016-03-13
3843	4	Trentino-Alto Adige/Südtirol	43	2016-03-13
3844	5	Veneto	153	2016-03-13
3845	6	Friuli-Venezia Giulia	48	2016-03-13
3846	7	Liguria	52	2016-03-13
3847	8	Emilia-Romagna	142	2016-03-13
3848	9	Toscana	131	2016-03-13
3849	10	Umbria	33	2016-03-13
3850	11	Marche	48	2016-03-13
3851	12	Lazio	170	2016-03-13
3852	13	Abruzzo	30	2016-03-13
3853	14	Molise	14	2016-03-13
3854	15	Campania	174	2016-03-13
3855	16	Puglia	112	2016-03-13
3856	17	Basilicata	12	2016-03-13
3857	18	Calabria	60	2016-03-13
3858	19	Sicilia	175	2016-03-13
3859	20	Sardegna	59	2016-03-13
3860	1	Piemonte	164	2016-03-14
3861	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-14
3862	3	Lombardia	267	2016-03-14
3863	4	Trentino-Alto Adige/Südtirol	43	2016-03-14
3864	5	Veneto	153	2016-03-14
3865	6	Friuli-Venezia Giulia	48	2016-03-14
3866	7	Liguria	52	2016-03-14
3867	8	Emilia-Romagna	142	2016-03-14
3868	9	Toscana	131	2016-03-14
3869	10	Umbria	33	2016-03-14
3870	11	Marche	48	2016-03-14
3871	12	Lazio	170	2016-03-14
3872	13	Abruzzo	30	2016-03-14
3873	14	Molise	14	2016-03-14
3874	15	Campania	174	2016-03-14
3875	16	Puglia	112	2016-03-14
3876	17	Basilicata	12	2016-03-14
3877	18	Calabria	60	2016-03-14
3878	19	Sicilia	175	2016-03-14
3879	20	Sardegna	59	2016-03-14
3880	1	Piemonte	164	2016-03-15
3881	2	Valle d'Aosta/Vallée d'Aoste	9	2016-03-15
3882	3	Lombardia	267	2016-03-15
3883	4	Trentino-Alto Adige/Südtirol	43	2016-03-15
3884	5	Veneto	153	2016-03-15
3885	6	Friuli-Venezia Giulia	48	2016-03-15
3886	7	Liguria	52	2016-03-15
3887	8	Emilia-Romagna	142	2016-03-15
3888	9	Toscana	131	2016-03-15
3889	10	Umbria	33	2016-03-15
3890	11	Marche	48	2016-03-15
3891	12	Lazio	170	2016-03-15
3892	13	Abruzzo	30	2016-03-15
3893	14	Molise	14	2016-03-15
3894	15	Campania	174	2016-03-15
3895	16	Puglia	112	2016-03-15
3896	17	Basilicata	12	2016-03-15
3897	18	Calabria	60	2016-03-15
