	region_code	region	death	date
136	17	Basilicata	18	2015-01-07
137	18	Calabria	75	2015-01-07
138	19	Sicilia	189	2015-01-07
139	20	Sardegna	65	2015-01-07
140	1	Piemonte	137	2015-01-08
141	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-08
142	3	Lombardia	306	2015-01-08
143	4	Trentino-Alto Adige/Südtirol	30	2015-01-08
144	5	Veneto	153	2015-01-08
145	6	Friuli-Venezia Giulia	63	2015-01-08
146	7	Liguria	82	2015-01-08
147	8	Emilia-Romagna	165	2015-01-08
148	9	Toscana	141	2015-01-08
149	10	Umbria	37	2015-01-08
150	11	Marche	56	2015-01-08
151	12	Lazio	205	2015-01-08
152	13	Abruzzo	51	2015-01-08
153	14	Molise	10	2015-01-08
154	15	Campania	217	2015-01-08
155	16	Puglia	129	2015-01-08
156	17	Basilicata	18	2015-01-08
157	18	Calabria	75	2015-01-08
158	19	Sicilia	189	2015-01-08
159	20	Sardegna	65	2015-01-08
160	1	Piemonte	137	2015-01-09
161	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-09
162	3	Lombardia	306	2015-01-09
163	4	Trentino-Alto Adige/Südtirol	30	2015-01-09
164	5	Veneto	153	2015-01-09
165	6	Friuli-Venezia Giulia	63	2015-01-09
166	7	Liguria	82	2015-01-09
167	8	Emilia-Romagna	165	2015-01-09
168	9	Toscana	141	2015-01-09
169	10	Umbria	37	2015-01-09
170	11	Marche	56	2015-01-09
171	12	Lazio	205	2015-01-09
172	13	Abruzzo	51	2015-01-09
173	14	Molise	10	2015-01-09
174	15	Campania	217	2015-01-09
175	16	Puglia	129	2015-01-09
176	17	Basilicata	18	2015-01-09
177	18	Calabria	75	2015-01-09
178	19	Sicilia	189	2015-01-09
179	20	Sardegna	65	2015-01-09
180	1	Piemonte	137	2015-01-10
181	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-10
182	3	Lombardia	306	2015-01-10
183	4	Trentino-Alto Adige/Südtirol	30	2015-01-10
184	5	Veneto	153	2015-01-10
185	6	Friuli-Venezia Giulia	63	2015-01-10
186	7	Liguria	82	2015-01-10
187	8	Emilia-Romagna	165	2015-01-10
188	9	Toscana	141	2015-01-10
189	10	Umbria	37	2015-01-10
190	11	Marche	56	2015-01-10
191	12	Lazio	205	2015-01-10
192	13	Abruzzo	51	2015-01-10
193	14	Molise	10	2015-01-10
194	15	Campania	217	2015-01-10
195	16	Puglia	129	2015-01-10
196	17	Basilicata	18	2015-01-10
197	18	Calabria	75	2015-01-10
198	19	Sicilia	189	2015-01-10
199	20	Sardegna	65	2015-01-10
200	1	Piemonte	137	2015-01-11
201	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-11
202	3	Lombardia	306	2015-01-11
203	4	Trentino-Alto Adige/Südtirol	30	2015-01-11
204	5	Veneto	153	2015-01-11
205	6	Friuli-Venezia Giulia	63	2015-01-11
206	7	Liguria	82	2015-01-11
207	8	Emilia-Romagna	165	2015-01-11
208	9	Toscana	141	2015-01-11
209	10	Umbria	37	2015-01-11
210	11	Marche	56	2015-01-11
211	12	Lazio	205	2015-01-11
212	13	Abruzzo	51	2015-01-11
213	14	Molise	10	2015-01-11
214	15	Campania	217	2015-01-11
215	16	Puglia	129	2015-01-11
216	17	Basilicata	18	2015-01-11
217	18	Calabria	75	2015-01-11
218	19	Sicilia	189	2015-01-11
219	20	Sardegna	65	2015-01-11
220	1	Piemonte	137	2015-01-12
221	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-12
222	3	Lombardia	306	2015-01-12
223	4	Trentino-Alto Adige/Südtirol	30	2015-01-12
224	5	Veneto	153	2015-01-12
225	6	Friuli-Venezia Giulia	63	2015-01-12
226	7	Liguria	82	2015-01-12
227	8	Emilia-Romagna	165	2015-01-12
228	9	Toscana	141	2015-01-12
229	10	Umbria	37	2015-01-12
230	11	Marche	56	2015-01-12
231	12	Lazio	205	2015-01-12
232	13	Abruzzo	51	2015-01-12
233	14	Molise	10	2015-01-12
234	15	Campania	217	2015-01-12
235	16	Puglia	129	2015-01-12
236	17	Basilicata	18	2015-01-12
237	18	Calabria	75	2015-01-12
238	19	Sicilia	189	2015-01-12
239	20	Sardegna	65	2015-01-12
240	1	Piemonte	137	2015-01-13
241	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-13
242	3	Lombardia	306	2015-01-13
243	4	Trentino-Alto Adige/Südtirol	30	2015-01-13
244	5	Veneto	153	2015-01-13
245	6	Friuli-Venezia Giulia	63	2015-01-13
246	7	Liguria	82	2015-01-13
247	8	Emilia-Romagna	165	2015-01-13
248	9	Toscana	141	2015-01-13
249	10	Umbria	37	2015-01-13
250	11	Marche	56	2015-01-13
251	12	Lazio	205	2015-01-13
252	13	Abruzzo	51	2015-01-13
253	14	Molise	10	2015-01-13
254	15	Campania	217	2015-01-13
255	16	Puglia	129	2015-01-13
256	17	Basilicata	18	2015-01-13
257	18	Calabria	75	2015-01-13
258	19	Sicilia	189	2015-01-13
259	20	Sardegna	65	2015-01-13
260	1	Piemonte	137	2015-01-14
261	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-14
262	3	Lombardia	306	2015-01-14
263	4	Trentino-Alto Adige/Südtirol	30	2015-01-14
264	5	Veneto	153	2015-01-14
265	6	Friuli-Venezia Giulia	63	2015-01-14
266	7	Liguria	82	2015-01-14
267	8	Emilia-Romagna	165	2015-01-14
268	9	Toscana	141	2015-01-14
269	10	Umbria	37	2015-01-14
270	11	Marche	56	2015-01-14
271	12	Lazio	205	2015-01-14
272	13	Abruzzo	51	2015-01-14
273	14	Molise	10	2015-01-14
274	15	Campania	217	2015-01-14
275	16	Puglia	129	2015-01-14
276	17	Basilicata	18	2015-01-14
277	18	Calabria	75	2015-01-14
278	19	Sicilia	189	2015-01-14
279	20	Sardegna	65	2015-01-14
280	1	Piemonte	137	2015-01-15
281	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-15
282	3	Lombardia	306	2015-01-15
283	4	Trentino-Alto Adige/Südtirol	30	2015-01-15
284	5	Veneto	153	2015-01-15
285	6	Friuli-Venezia Giulia	63	2015-01-15
286	7	Liguria	82	2015-01-15
287	8	Emilia-Romagna	165	2015-01-15
288	9	Toscana	141	2015-01-15
289	10	Umbria	37	2015-01-15
290	11	Marche	56	2015-01-15
291	12	Lazio	205	2015-01-15
292	13	Abruzzo	51	2015-01-15
293	14	Molise	10	2015-01-15
294	15	Campania	217	2015-01-15
295	16	Puglia	129	2015-01-15
296	17	Basilicata	18	2015-01-15
297	18	Calabria	75	2015-01-15
298	19	Sicilia	189	2015-01-15
299	20	Sardegna	65	2015-01-15
300	1	Piemonte	137	2015-01-16
301	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-16
302	3	Lombardia	306	2015-01-16
303	4	Trentino-Alto Adige/Südtirol	30	2015-01-16
304	5	Veneto	153	2015-01-16
305	6	Friuli-Venezia Giulia	63	2015-01-16
306	7	Liguria	82	2015-01-16
307	8	Emilia-Romagna	165	2015-01-16
308	9	Toscana	141	2015-01-16
309	10	Umbria	37	2015-01-16
310	11	Marche	56	2015-01-16
311	12	Lazio	205	2015-01-16
312	13	Abruzzo	51	2015-01-16
313	14	Molise	10	2015-01-16
314	15	Campania	217	2015-01-16
315	16	Puglia	129	2015-01-16
316	17	Basilicata	18	2015-01-16
317	18	Calabria	75	2015-01-16
318	19	Sicilia	189	2015-01-16
319	20	Sardegna	65	2015-01-16
320	1	Piemonte	137	2015-01-17
321	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-17
322	3	Lombardia	306	2015-01-17
323	4	Trentino-Alto Adige/Südtirol	30	2015-01-17
324	5	Veneto	153	2015-01-17
325	6	Friuli-Venezia Giulia	63	2015-01-17
326	7	Liguria	82	2015-01-17
327	8	Emilia-Romagna	165	2015-01-17
328	9	Toscana	141	2015-01-17
