Provincia Autonoma Bolzano / Bozen,1877,2021,3898,1974,2204,4178,1970,2080,4050,2004,2117,4121,2149,2208,4357,2095,2154,4249,2139,2256,4395,2098,2299,4397
Bolzano / Bozen,1877,2021,3898,1974,2204,4178,1970,2080,4050,2004,2117,4121,2149,2208,4357,2095,2154,4249,2139,2256,4395,2098,2299,4397
Provincia Autonoma Trento,2185,2405,4590,2175,2491,4666,2280,2562,4842,2253,2500,4753,2318,2733,5051,2337,2622,4959,2350,2712,5062,2267,2747,5014
Trento,2185,2405,4590,2175,2491,4666,2280,2562,4842,2253,2500,4753,2318,2733,5051,2337,2622,4959,2350,2712,5062,2267,2747,5014
Veneto,21502,23726,45228,22263,24777,47040,22045,24292,46337,21997,23958,45955,23108,26453,49561,22675,25181,47856,23163,26284,49447,23106,26030,49136
Verona,3804,4306,8110,4099,4520,8619,4023,4338,8361,3918,4306,8224,4171,4946,9117,4123,4632,8755,4306,4790,9096,4179,4622,8801
Vicenza,3566,3857,7423,3606,4077,7683,3627,3970,7597,3663,3960,7623,3889,4342,8231,3717,4065,7782,3794,4417,8211,3961,4277,8238
Belluno,1084,1351,2435,1139,1421,2560,1159,1409,2568,1157,1329,2486,1194,1432,2626,1140,1336,2476,1188,1403,2591,1135,1363,2498
Treviso,3606,4014,7620,3635,4066,7701,3598,3963,7561,3580,3920,7500,3839,4440,8279,3778,4198,7976,3823,4365,8188,3868,4324,8192
Venezia,4011,4394,8405,4182,4628,8810,4259,4662,8921,4299,4419,8718,4308,4840,9148,4223,4637,8860,4404,4803,9207,4348,4892,9240
Padova,4001,4337,8338,4161,4437,8598,4010,4413,8423,3951,4482,8433,4288,4755,9043,4243,4777,9020,4232,4825,9057,4148,4912,9060
Rovigo,1430,1467,2897,1441,1628,3069,1369,1537,2906,1429,1542,2971,1419,1698,3117,1451,1536,2987,1416,1681,3097,1467,1640,3107
Friuli-Venezia Giulia,6583,7483,14066,6769,7657,14426,6593,7629,14222,6387,7377,13764,6904,7903,14807,6639,7452,14091,6772,7734,14506,6707,7769,14476
Udine,2899,3144,6043,2881,3260,6141,2903,3254,6157,2821,3197,6018,3094,3308,6402,2849,3174,6023,2979,3307,6286,2922,3280,6202
Gorizia,758,924,1682,807,942,1749,803,939,1742,798,897,1695,808,1013,1821,860,954,1814,831,927,1758,872,945,1817
Trieste,1501,1880,3381,1601,1870,3471,1481,1841,3322,1407,1765,3172,1515,1921,3436,1459,1770,3229,1489,1798,3287,1448,1766,3214
Pordenone,1425,1535,2960,1480,1585,3065,1406,1595,3001,1361,1518,2879,1487,1661,3148,1471,1554,3025,1473,1702,3175,1465,1778,3243
Emilia-Romagna,22564,25089,47653,23420,25797,49217,22485,25278,47763,22694,25034,47728,23971,27610,51581,23188,26189,49377,24039,27025,51064,23401,26410,49811
Piacenza,1620,1737,3357,1701,1889,3590,1657,1834,3491,1661,1773,3434,1763,1945,3708,1607,1904,3511,1708,1963,3671,1674,1992,3666
Parma,2202,2695,4897,2296,2595,4891,2248,2506,4754,2357,2629,4986,2324,2772,5096,2310,2639,4949,2422,2695,5117,2286,2634,4920
Reggio nell'Emilia,2370,2540,4910,2547,2833,5380,2501,2787,5288,2453,2720,5173,2618,2952,5570,2593,2915,5508,2519,2889,5408,2597,2837,5434
