	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
81	2016-03-22	2748	20	63	65	103	150	200	275	431	459	477	359	120	26
82	2016-03-23	2811	29	69	84	115	147	186	231	418	489	532	381	116	14
83	2016-03-24	2660	25	61	61	105	165	175	244	416	440	475	373	103	17
84	2016-03-25	2676	21	72	61	107	135	165	241	415	447	524	362	97	29
85	2016-03-26	2656	24	85	72	108	133	150	267	403	455	482	348	109	20
86	2016-03-27	2487	26	67	64	85	124	141	221	397	438	467	345	93	19
87	2016-03-28	2551	36	72	61	103	123	181	208	397	405	499	364	80	22
88	2016-03-29	2757	25	73	76	116	146	180	248	451	446	496	364	106	30
89	2016-03-30	2668	19	79	78	91	143	171	243	418	461	469	358	114	24
90	2016-03-31	2708	24	87	70	107	137	171	248	409	438	502	389	112	14
91	2016-04-01	2675	22	76	58	117	142	179	257	401	444	489	360	113	17
92	2016-04-02	2637	22	83	61	83	122	173	242	379	455	512	369	111	25
93	2016-04-03	2621	31	83	60	98	130	179	222	400	450	491	347	112	18
94	2016-04-04	2695	23	62	83	107	138	204	244	410	435	502	369	95	23
95	2016-04-05	2707	24	60	68	106	147	166	246	419	453	538	347	108	25
96	2016-04-06	2650	11	69	68	89	160	145	241	420	452	506	349	124	16
97	2016-04-07	2584	21	72	58	110	122	182	221	416	429	479	342	111	21
98	2016-04-08	2653	16	79	82	108	141	169	212	387	434	543	342	120	20
99	2016-04-09	2533	24	69	45	106	121	160	240	380	444	488	334	105	17
100	2016-04-10	2423	22	64	54	108	114	162	203	360	374	480	352	112	18
101	2016-04-11	2546	22	71	65	110	139	177	238	416	386	483	325	100	14
102	2016-04-12	2618	16	66	87	104	131	169	243	398	437	477	363	108	19
103	2016-04-13	2621	25	64	69	108	145	168	256	402	449	486	329	97	23
104	2016-04-14	2518	17	59	76	90	142	160	230	423	400	497	319	92	13
105	2016-04-15	2544	12	61	85	91	120	172	211	412	414	496	345	110	15
106	2016-04-16	2471	16	54	59	96	122	150	227	389	406	471	361	97	23
107	2016-04-17	2394	27	58	73	96	110	164	215	384	380	439	331	100	17
108	2016-04-18	2370	14	74	53	104	135	135	202	363	420	442	322	92	14
109	2016-04-19	2351	15	76	58	89	128	170	232	365	372	460	271	98	17
110	2016-04-20	2425	25	69	67	98	112	159	208	372	421	445	322	104	23
111	2016-04-21	2422	25	70	68	77	136	163	235	345	419	449	336	82	17
112	2016-04-22	2466	24	72	65	96	138	183	194	381	420	456	323	97	17
113	2016-04-23	2428	31	81	77	104	114	134	207	400	395	458	325	87	15
114	2016-04-24	2313	16	58	49	102	127	136	227	346	422	439	281	95	15
115	2016-04-25	2423	19	69	64	111	136	148	191	364	425	442	344	99	11
116	2016-04-26	2437	20	70	65	89	147	184	237	379	382	441	305	96	22
117	2016-04-27	2502	20	68	48	100	133	139	225	375	474	440	356	113	11
118	2016-04-28	2413	19	67	65	82	136	158	215	381	405	458	308	99	20
119	2016-04-29	2379	15	75	72	78	137	159	208	349	419	452	299	105	11
120	2016-04-30	2497	23	79	56	81	136	151	211	384	416	492	346	101	21
121	2016-05-01	2402	28	53	56	75	123	158	210	390	398	468	341	90	12
122	2016-05-02	2491	20	65	73	115	145	173	185	350	414	469	352	97	33
123	2016-05-03	2396	24	55	74	101	132	170	195	363	430	457	286	96	13
124	2016-05-04	2413	32	67	54	82	120	169	230	362	399	464	336	87	11
125	2016-05-05	2226	21	74	62	81	94	146	196	326	408	431	294	80	13
126	2016-05-06	2505	31	61	65	93	149	161	214	385	415	478	335	102	16
127	2016-05-07	2503	17	64	53	93	127	161	219	390	448	474	336	104	17
128	2016-05-08	2367	18	77	67	104	121	151	213	367	395	451	300	93	10
129	2016-05-09	2552	20	72	86	107	120	188	231	376	413	490	333	100	16
130	2016-05-10	2648	31	80	82	100	157	176	233	399	437	473	346	111	23
131	2016-05-11	2600	23	76	76	127	137	138	222	380	468	456	350	127	20
132	2016-05-12	2573	26	68	51	102	117	183	215	394	461	476	347	104	29
133	2016-05-13	2562	26	87	64	106	134	175	225	368	470	453	330	106	18
134	2016-05-14	2399	20	80	65	84	121	153	202	377	396	446	329	108	18
135	2016-05-15	2295	17	69	54	68	108	131	210	351	430	428	316	103	10
136	2016-05-16	2278	26	43	71	97	103	145	197	331	411	450	280	105	19
137	2016-05-17	2340	25	83	59	80	119	185	198	346	420	440	288	79	18
138	2016-05-18	2332	20	74	63	94	115	163	217	358	369	455	294	91	19
139	2016-05-19	2442	25	58	64	81	125	162	233	357	442	471	315	93	16
140	2016-05-20	2410	22	61	64	91	139	188	211	371	392	452	329	78	12
141	2016-05-21	2401	19	65	63	88	132	174	198	366	431	430	314	100	21
142	2016-05-22	2398	25	72	56	96	108	153	205	355	428	468	317	97	18
143	2016-05-23	2407	19	69	77	74	113	165	219	368	425	451	299	104	24
144	2016-05-24	2344	28	65	54	91	124	160	213	346	396	438	317	91	21
145	2016-05-25	2402	27	65	87	93	118	174	211	350	433	441	285	99	19
146	2016-05-26	2194	26	56	55	96	120	158	185	314	339	413	312	106	14
147	2016-05-27	2346	22	72	66	83	128	176	190	360	406	437	293	93	20
148	2016-05-28	2309	15	61	50	84	116	174	166	334	437	421	339	91	21
149	2016-05-29	2284	21	55	63	97	113	144	215	338	382	425	300	110	21
150	2016-05-30	2361	25	82	65	89	133	168	180	355	423	434	302	83	22
