	date	country	confirmed	death	recovered
103	1/26/20	Albania	0.0	0.0	0.0
104	1/27/20	Albania	0.0	0.0	0.0
105	1/28/20	Albania	0.0	0.0	0.0
106	1/29/20	Albania	0.0	0.0	0.0
107	1/30/20	Albania	0.0	0.0	0.0
108	1/31/20	Albania	0.0	0.0	0.0
109	2/1/20	Albania	0.0	0.0	0.0
110	2/2/20	Albania	0.0	0.0	0.0
111	2/3/20	Albania	0.0	0.0	0.0
112	2/4/20	Albania	0.0	0.0	0.0
113	2/5/20	Albania	0.0	0.0	0.0
114	2/6/20	Albania	0.0	0.0	0.0
115	2/7/20	Albania	0.0	0.0	0.0
116	2/8/20	Albania	0.0	0.0	0.0
117	2/9/20	Albania	0.0	0.0	0.0
118	2/10/20	Albania	0.0	0.0	0.0
119	2/11/20	Albania	0.0	0.0	0.0
120	2/12/20	Albania	0.0	0.0	0.0
121	2/13/20	Albania	0.0	0.0	0.0
122	2/14/20	Albania	0.0	0.0	0.0
123	2/15/20	Albania	0.0	0.0	0.0
124	2/16/20	Albania	0.0	0.0	0.0
125	2/17/20	Albania	0.0	0.0	0.0
126	2/18/20	Albania	0.0	0.0	0.0
127	2/19/20	Albania	0.0	0.0	0.0
128	2/20/20	Albania	0.0	0.0	0.0
129	2/21/20	Albania	0.0	0.0	0.0
130	2/22/20	Albania	0.0	0.0	0.0
131	2/23/20	Albania	0.0	0.0	0.0
132	2/24/20	Albania	0.0	0.0	0.0
133	2/25/20	Albania	0.0	0.0	0.0
134	2/26/20	Albania	0.0	0.0	0.0
135	2/27/20	Albania	0.0	0.0	0.0
136	2/28/20	Albania	0.0	0.0	0.0
137	2/29/20	Albania	0.0	0.0	0.0
138	3/1/20	Albania	0.0	0.0	0.0
139	3/2/20	Albania	0.0	0.0	0.0
140	3/3/20	Albania	0.0	0.0	0.0
141	3/4/20	Albania	0.0	0.0	0.0
142	3/5/20	Albania	0.0	0.0	0.0
143	3/6/20	Albania	0.0	0.0	0.0
144	3/7/20	Albania	0.0	0.0	0.0
145	3/8/20	Albania	0.0	0.0	0.0
146	3/9/20	Albania	2.0	0.0	0.0
147	3/10/20	Albania	10.0	0.0	0.0
148	3/11/20	Albania	12.0	1.0	0.0
149	3/12/20	Albania	23.0	1.0	0.0
150	3/13/20	Albania	33.0	1.0	0.0
151	3/14/20	Albania	38.0	1.0	0.0
152	3/15/20	Albania	42.0	1.0	0.0
153	3/16/20	Albania	51.0	1.0	0.0
154	3/17/20	Albania	55.0	1.0	0.0
155	3/18/20	Albania	59.0	2.0	0.0
156	3/19/20	Albania	64.0	2.0	0.0
157	3/20/20	Albania	70.0	2.0	0.0
158	3/21/20	Albania	76.0	2.0	2.0
159	3/22/20	Albania	89.0	2.0	2.0
160	3/23/20	Albania	104.0	4.0	2.0
161	3/24/20	Albania	123.0	5.0	10.0
162	3/25/20	Albania	146.0	5.0	17.0
163	3/26/20	Albania	174.0	6.0	17.0
164	3/27/20	Albania	186.0	8.0	31.0
165	3/28/20	Albania	197.0	10.0	31.0
166	3/29/20	Albania	212.0	10.0	33.0
167	3/30/20	Albania	223.0	11.0	44.0
168	3/31/20	Albania	243.0	15.0	52.0
169	4/1/20	Albania	259.0	15.0	67.0
170	4/2/20	Albania	277.0	16.0	76.0
171	4/3/20	Albania	304.0	17.0	89.0
172	4/4/20	Albania	333.0	20.0	99.0
173	4/5/20	Albania	361.0	20.0	104.0
174	4/6/20	Albania	377.0	21.0	116.0
175	4/7/20	Albania	383.0	22.0	131.0
176	4/8/20	Albania	400.0	22.0	154.0
177	4/9/20	Albania	409.0	23.0	165.0
178	4/10/20	Albania	416.0	23.0	182.0
179	4/11/20	Albania	433.0	23.0	197.0
180	4/12/20	Albania	446.0	23.0	217.0
181	4/13/20	Albania	467.0	23.0	232.0
182	4/14/20	Albania	475.0	24.0	248.0
183	4/15/20	Albania	494.0	25.0	251.0
184	4/16/20	Albania	518.0	26.0	277.0
185	4/17/20	Albania	539.0	26.0	283.0
186	4/18/20	Albania	548.0	26.0	302.0
187	4/19/20	Albania	562.0	26.0	314.0
188	4/20/20	Albania	584.0	26.0	327.0
189	4/21/20	Albania	609.0	26.0	345.0
190	4/22/20	Albania	634.0	27.0	356.0
191	4/23/20	Albania	663.0	27.0	385.0
192	4/24/20	Albania	678.0	27.0	394.0
193	4/25/20	Albania	712.0	27.0	403.0
194	4/26/20	Albania	726.0	28.0	410.0
195	4/27/20	Albania	736.0	28.0	422.0
196	4/28/20	Albania	750.0	30.0	431.0
197	4/29/20	Albania	766.0	30.0	455.0
198	1/22/20	Algeria	0.0	0.0	0.0
199	1/23/20	Algeria	0.0	0.0	0.0
200	1/24/20	Algeria	0.0	0.0	0.0
201	1/25/20	Algeria	0.0	0.0	0.0
202	1/26/20	Algeria	0.0	0.0	0.0
203	1/27/20	Algeria	0.0	0.0	0.0
204	1/28/20	Algeria	0.0	0.0	0.0
205	1/29/20	Algeria	0.0	0.0	0.0
206	1/30/20	Algeria	0.0	0.0	0.0
207	1/31/20	Algeria	0.0	0.0	0.0
208	2/1/20	Algeria	0.0	0.0	0.0
209	2/2/20	Algeria	0.0	0.0	0.0
210	2/3/20	Algeria	0.0	0.0	0.0
211	2/4/20	Algeria	0.0	0.0	0.0
212	2/5/20	Algeria	0.0	0.0	0.0
213	2/6/20	Algeria	0.0	0.0	0.0
214	2/7/20	Algeria	0.0	0.0	0.0
215	2/8/20	Algeria	0.0	0.0	0.0
216	2/9/20	Algeria	0.0	0.0	0.0
217	2/10/20	Algeria	0.0	0.0	0.0
218	2/11/20	Algeria	0.0	0.0	0.0
219	2/12/20	Algeria	0.0	0.0	0.0
220	2/13/20	Algeria	0.0	0.0	0.0
221	2/14/20	Algeria	0.0	0.0	0.0
222	2/15/20	Algeria	0.0	0.0	0.0
223	2/16/20	Algeria	0.0	0.0	0.0
224	2/17/20	Algeria	0.0	0.0	0.0
225	2/18/20	Algeria	0.0	0.0	0.0
226	2/19/20	Algeria	0.0	0.0	0.0
227	2/20/20	Algeria	0.0	0.0	0.0
228	2/21/20	Algeria	0.0	0.0	0.0
229	2/22/20	Algeria	0.0	0.0	0.0
230	2/23/20	Algeria	0.0	0.0	0.0
231	2/24/20	Algeria	0.0	0.0	0.0
232	2/25/20	Algeria	1.0	0.0	0.0
233	2/26/20	Algeria	1.0	0.0	0.0
234	2/27/20	Algeria	1.0	0.0	0.0
235	2/28/20	Algeria	1.0	0.0	0.0
236	2/29/20	Algeria	1.0	0.0	0.0
237	3/1/20	Algeria	1.0	0.0	0.0
238	3/2/20	Algeria	3.0	0.0	0.0
239	3/3/20	Algeria	5.0	0.0	0.0
240	3/4/20	Algeria	12.0	0.0	0.0
241	3/5/20	Algeria	12.0	0.0	0.0
242	3/6/20	Algeria	17.0	0.0	0.0
243	3/7/20	Algeria	17.0	0.0	0.0
244	3/8/20	Algeria	19.0	0.0	0.0
245	3/9/20	Algeria	20.0	0.0	0.0
246	3/10/20	Algeria	20.0	0.0	0.0
247	3/11/20	Algeria	20.0	0.0	0.0
248	3/12/20	Algeria	24.0	1.0	8.0
249	3/13/20	Algeria	26.0	2.0	8.0
250	3/14/20	Algeria	37.0	3.0	12.0
251	3/15/20	Algeria	48.0	4.0	12.0
252	3/16/20	Algeria	54.0	4.0	12.0
253	3/17/20	Algeria	60.0	4.0	12.0
