	week	region	age_group	male	female	total
75	01/01/2018-11/01/2018	Abruzzo	0	0.0	0.0	0.0
76	12/01/2018-18/01/2018	Abruzzo	0	0.0	1.0	1.0
77	19/01/2018-25/01/2018	Abruzzo	0	0.0	0.0	0.0
78	26/01/2018-01/02/2018	Abruzzo	0	0.0	0.0	0.0
79	02/02/2018-08/02/2018	Abruzzo	0	0.0	0.0	0.0
80	09/02/2018-15/02/2018	Abruzzo	0	0.0	0.0	0.0
81	16/02/2018-22/02/2018	Abruzzo	0	0.0	1.0	1.0
82	23/02/2018-29/02/2018	Abruzzo	0	0.0	0.0	0.0
83	01/03/2018-07/03/2018	Abruzzo	0	0.0	0.0	0.0
84	08/03/2018-14/03/2018	Abruzzo	0	2.0	0.0	2.0
85	15/03/2018-21/03/2018	Abruzzo	0	1.0	0.0	1.0
86	22/03/2018-28/03/2018	Abruzzo	0	1.0	1.0	2.0
87	29/03/2018-04/04/2018	Abruzzo	0	1.0	0.0	1.0
88	05/04/2018-11/04/2018	Abruzzo	0	0.0	0.0	0.0
89	12/04/2018-18/04/2018	Abruzzo	0	0.0	1.0	1.0
90	19/04/2018-25/04/2018	Abruzzo	0	0.0	0.0	0.0
91	26/04/2018-02/05/2018	Abruzzo	0	1.0	0.0	1.0
92	03/05/2018-09/05/2018	Abruzzo	0	0.0	0.0	0.0
93	10/05/2018-16/05/2018	Abruzzo	0	0.0	0.0	0.0
94	17/05/2018-23/05/2018	Abruzzo	0	0.0	0.0	0.0
95	24/05/2018-30/05/2018	Abruzzo	0	0.0	0.0	0.0
96	31/05/2018-06/06/2018	Abruzzo	0	1.0	1.0	2.0
97	07/06/2018-13/06/2018	Abruzzo	0	0.0	0.0	0.0
98	14/06/2018-20/06/2018	Abruzzo	0	0.0	0.0	0.0
99	21/06/2018-27/06/2018	Abruzzo	0	1.0	0.0	1.0
100	01/01/2019-11/01/2019	Abruzzo	0	0.0	0.0	0.0
101	12/01/2019-18/01/2019	Abruzzo	0	0.0	0.0	0.0
102	19/01/2019-25/01/2019	Abruzzo	0	1.0	1.0	2.0
103	26/01/2019-01/02/2019	Abruzzo	0	0.0	1.0	1.0
104	02/02/2019-08/02/2019	Abruzzo	0	0.0	0.0	0.0
105	09/02/2019-15/02/2019	Abruzzo	0	0.0	0.0	0.0
106	16/02/2019-22/02/2019	Abruzzo	0	0.0	1.0	1.0
107	23/02/2019-29/02/2019	Abruzzo	0	0.0	0.0	0.0
108	01/03/2019-07/03/2019	Abruzzo	0	0.0	0.0	0.0
109	08/03/2019-14/03/2019	Abruzzo	0	0.0	0.0	0.0
110	15/03/2019-21/03/2019	Abruzzo	0	0.0	1.0	1.0
111	22/03/2019-28/03/2019	Abruzzo	0	0.0	0.0	0.0
112	29/03/2019-04/04/2019	Abruzzo	0	1.0	0.0	1.0
113	05/04/2019-11/04/2019	Abruzzo	0	0.0	0.0	0.0
114	12/04/2019-18/04/2019	Abruzzo	0	0.0	2.0	2.0
115	19/04/2019-25/04/2019	Abruzzo	0	0.0	1.0	1.0
116	26/04/2019-02/05/2019	Abruzzo	0	0.0	0.0	0.0
117	03/05/2019-09/05/2019	Abruzzo	0	0.0	0.0	0.0
118	10/05/2019-16/05/2019	Abruzzo	0	1.0	0.0	1.0
119	17/05/2019-23/05/2019	Abruzzo	0	0.0	0.0	0.0
120	24/05/2019-30/05/2019	Abruzzo	0	0.0	0.0	0.0
121	31/05/2019-06/06/2019	Abruzzo	0	1.0	1.0	2.0
122	07/06/2019-13/06/2019	Abruzzo	0	0.0	2.0	2.0
123	14/06/2019-20/06/2019	Abruzzo	0	0.0	0.0	0.0
124	21/06/2019-27/06/2019	Abruzzo	0	0.0	0.0	0.0
125	01/01/2020-11/01/2020	Abruzzo	0	0.0	1.0	1.0
126	12/01/2020-18/01/2020	Abruzzo	0	0.0	0.0	0.0
127	19/01/2020-25/01/2020	Abruzzo	0	0.0	1.0	1.0
128	26/01/2020-01/02/2020	Abruzzo	0	1.0	0.0	1.0
129	02/02/2020-08/02/2020	Abruzzo	0	1.0	0.0	1.0
130	09/02/2020-15/02/2020	Abruzzo	0	0.0	1.0	1.0
131	16/02/2020-22/02/2020	Abruzzo	0	0.0	0.0	0.0
132	23/02/2020-29/02/2020	Abruzzo	0	0.0	0.0	0.0
133	01/03/2020-07/03/2020	Abruzzo	0	0.0	0.0	0.0
134	08/03/2020-14/03/2020	Abruzzo	0	0.0	0.0	0.0
135	15/03/2020-21/03/2020	Abruzzo	0	0.0	0.0	0.0
136	22/03/2020-28/03/2020	Abruzzo	0	0.0	0.0	0.0
137	29/03/2020-04/04/2020	Abruzzo	0	1.0	0.0	1.0
138	05/04/2020-11/04/2020	Abruzzo	0	0.0	0.0	0.0
139	12/04/2020-18/04/2020	Abruzzo	0	0.0	0.0	0.0
140	19/04/2020-25/04/2020	Abruzzo	0	0.0	0.0	0.0
141	26/04/2020-02/05/2020	Abruzzo	0	0.0	0.0	0.0
142	03/05/2020-09/05/2020	Abruzzo	0	0.0	0.0	0.0
143	10/05/2020-16/05/2020	Abruzzo	0	0.0	0.0	0.0
144	17/05/2020-23/05/2020	Abruzzo	0	0.0	0.0	0.0
145	24/05/2020-30/05/2020	Abruzzo	0	0.0	0.0	0.0
146	31/05/2020-06/06/2020	Abruzzo	0	1.0	2.0	3.0
147	07/06/2020-13/06/2020	Abruzzo	0	0.0	0.0	0.0
148	14/06/2020-20/06/2020	Abruzzo	0	0.0	0.0	0.0
149	21/06/2020-27/06/2020	Abruzzo	0	0.0	1.0	1.0
150	01/01/2015-11/01/2015	Abruzzo	1	0.0	0.0	0.0
151	12/01/2015-18/01/2015	Abruzzo	1	0.0	0.0	0.0
152	19/01/2015-25/01/2015	Abruzzo	1	0.0	0.0	0.0
153	26/01/2015-01/02/2015	Abruzzo	1	0.0	0.0	0.0
154	02/02/2015-08/02/2015	Abruzzo	1	0.0	0.0	0.0
155	09/02/2015-15/02/2015	Abruzzo	1	0.0	0.0	0.0
156	16/02/2015-22/02/2015	Abruzzo	1	0.0	0.0	0.0
157	23/02/2015-29/02/2015	Abruzzo	1	0.0	0.0	0.0
158	01/03/2015-07/03/2015	Abruzzo	1	0.0	0.0	0.0
159	08/03/2015-14/03/2015	Abruzzo	1	0.0	0.0	0.0
160	15/03/2015-21/03/2015	Abruzzo	1	0.0	0.0	0.0
161	22/03/2015-28/03/2015	Abruzzo	1	0.0	0.0	0.0
162	29/03/2015-04/04/2015	Abruzzo	1	0.0	0.0	0.0
163	05/04/2015-11/04/2015	Abruzzo	1	0.0	0.0	0.0
164	12/04/2015-18/04/2015	Abruzzo	1	0.0	0.0	0.0
165	19/04/2015-25/04/2015	Abruzzo	1	0.0	0.0	0.0
166	26/04/2015-02/05/2015	Abruzzo	1	0.0	0.0	0.0
167	03/05/2015-09/05/2015	Abruzzo	1	0.0	0.0	0.0
168	10/05/2015-16/05/2015	Abruzzo	1	0.0	0.0	0.0
169	17/05/2015-23/05/2015	Abruzzo	1	0.0	0.0	0.0
170	24/05/2015-30/05/2015	Abruzzo	1	1.0	0.0	1.0
171	31/05/2015-06/06/2015	Abruzzo	1	0.0	1.0	1.0
172	07/06/2015-13/06/2015	Abruzzo	1	0.0	0.0	0.0
173	14/06/2015-20/06/2015	Abruzzo	1	0.0	0.0	0.0
174	21/06/2015-27/06/2015	Abruzzo	1	0.0	0.0	0.0
175	01/01/2016-11/01/2016	Abruzzo	1	0.0	0.0	0.0
176	12/01/2016-18/01/2016	Abruzzo	1	0.0	0.0	0.0
177	19/01/2016-25/01/2016	Abruzzo	1	0.0	0.0	0.0
178	26/01/2016-01/02/2016	Abruzzo	1	0.0	0.0	0.0
179	02/02/2016-08/02/2016	Abruzzo	1	1.0	0.0	1.0
180	09/02/2016-15/02/2016	Abruzzo	1	0.0	0.0	0.0
181	16/02/2016-22/02/2016	Abruzzo	1	0.0	0.0	0.0
182	23/02/2016-29/02/2016	Abruzzo	1	0.0	0.0	0.0
183	01/03/2016-07/03/2016	Abruzzo	1	0.0	0.0	0.0
184	08/03/2016-14/03/2016	Abruzzo	1	0.0	0.0	0.0
185	15/03/2016-21/03/2016	Abruzzo	1	0.0	0.0	0.0
186	22/03/2016-28/03/2016	Abruzzo	1	1.0	0.0	1.0
187	29/03/2016-04/04/2016	Abruzzo	1	0.0	0.0	0.0
188	05/04/2016-11/04/2016	Abruzzo	1	0.0	0.0	0.0
189	12/04/2016-18/04/2016	Abruzzo	1	1.0	0.0	1.0
190	19/04/2016-25/04/2016	Abruzzo	1	0.0	0.0	0.0
191	26/04/2016-02/05/2016	Abruzzo	1	0.0	1.0	1.0
192	03/05/2016-09/05/2016	Abruzzo	1	0.0	0.0	0.0
193	10/05/2016-16/05/2016	Abruzzo	1	0.0	0.0	0.0
194	17/05/2016-23/05/2016	Abruzzo	1	0.0	0.0	0.0
195	24/05/2016-30/05/2016	Abruzzo	1	0.0	0.0	0.0
196	31/05/2016-06/06/2016	Abruzzo	1	0.0	0.0	0.0
197	07/06/2016-13/06/2016	Abruzzo	1	0.0	0.0	0.0
198	14/06/2016-20/06/2016	Abruzzo	1	0.0	0.0	0.0
199	21/06/2016-27/06/2016	Abruzzo	1	0.0	0.0	0.0
200	01/01/2017-11/01/2017	Abruzzo	1	0.0	0.0	0.0
201	12/01/2017-18/01/2017	Abruzzo	1	0.0	0.0	0.0
202	19/01/2017-25/01/2017	Abruzzo	1	0.0	0.0	0.0
203	26/01/2017-01/02/2017	Abruzzo	1	0.0	0.0	0.0
204	02/02/2017-08/02/2017	Abruzzo	1	0.0	0.0	0.0
205	09/02/2017-15/02/2017	Abruzzo	1	0.0	0.0	0.0
206	16/02/2017-22/02/2017	Abruzzo	1	0.0	0.0	0.0
207	23/02/2017-29/02/2017	Abruzzo	1	0.0	0.0	0.0
208	01/03/2017-07/03/2017	Abruzzo	1	0.0	0.0	0.0
209	08/03/2017-14/03/2017	Abruzzo	1	0.0	0.0	0.0
210	15/03/2017-21/03/2017	Abruzzo	1	0.0	0.0	0.0
211	22/03/2017-28/03/2017	Abruzzo	1	0.0	0.0	0.0
212	29/03/2017-04/04/2017	Abruzzo	1	0.0	0.0	0.0
213	05/04/2017-11/04/2017	Abruzzo	1	0.0	0.0	0.0
214	12/04/2017-18/04/2017	Abruzzo	1	0.0	0.0	0.0
215	19/04/2017-25/04/2017	Abruzzo	1	0.0	0.0	0.0
216	26/04/2017-02/05/2017	Abruzzo	1	0.0	0.0	0.0
217	03/05/2017-09/05/2017	Abruzzo	1	0.0	0.0	0.0
218	10/05/2017-16/05/2017	Abruzzo	1	0.0	0.0	0.0
219	17/05/2017-23/05/2017	Abruzzo	1	0.0	1.0	1.0
220	24/05/2017-30/05/2017	Abruzzo	1	0.0	0.0	0.0
221	31/05/2017-06/06/2017	Abruzzo	1	0.0	0.0	0.0
222	07/06/2017-13/06/2017	Abruzzo	1	0.0	0.0	0.0
223	14/06/2017-20/06/2017	Abruzzo	1	0.0	0.0	0.0
224	21/06/2017-27/06/2017	Abruzzo	1	0.0	0.0	0.0
225	01/01/2018-11/01/2018	Abruzzo	1	0.0	1.0	1.0
226	12/01/2018-18/01/2018	Abruzzo	1	0.0	0.0	0.0
227	19/01/2018-25/01/2018	Abruzzo	1	0.0	0.0	0.0
228	26/01/2018-01/02/2018	Abruzzo	1	0.0	0.0	0.0
229	02/02/2018-08/02/2018	Abruzzo	1	0.0	0.0	0.0
230	09/02/2018-15/02/2018	Abruzzo	1	0.0	0.0	0.0
231	16/02/2018-22/02/2018	Abruzzo	1	0.0	0.0	0.0
232	23/02/2018-29/02/2018	Abruzzo	1	0.0	0.0	0.0
233	01/03/2018-07/03/2018	Abruzzo	1	0.0	0.0	0.0
234	08/03/2018-14/03/2018	Abruzzo	1	0.0	0.0	0.0
235	15/03/2018-21/03/2018	Abruzzo	1	0.0	0.0	0.0
236	22/03/2018-28/03/2018	Abruzzo	1	1.0	0.0	1.0
237	29/03/2018-04/04/2018	Abruzzo	1	0.0	0.0	0.0
238	05/04/2018-11/04/2018	Abruzzo	1	0.0	0.0	0.0
239	12/04/2018-18/04/2018	Abruzzo	1	0.0	0.0	0.0
240	19/04/2018-25/04/2018	Abruzzo	1	0.0	0.0	0.0
241	26/04/2018-02/05/2018	Abruzzo	1	0.0	0.0	0.0
242	03/05/2018-09/05/2018	Abruzzo	1	0.0	0.0	0.0
243	10/05/2018-16/05/2018	Abruzzo	1	0.0	0.0	0.0
244	17/05/2018-23/05/2018	Abruzzo	1	0.0	0.0	0.0
245	24/05/2018-30/05/2018	Abruzzo	1	0.0	0.0	0.0
246	31/05/2018-06/06/2018	Abruzzo	1	0.0	0.0	0.0
247	07/06/2018-13/06/2018	Abruzzo	1	0.0	0.0	0.0
248	14/06/2018-20/06/2018	Abruzzo	1	0.0	0.0	0.0
249	21/06/2018-27/06/2018	Abruzzo	1	0.0	0.0	0.0
250	01/01/2019-11/01/2019	Abruzzo	1	0.0	0.0	0.0
251	12/01/2019-18/01/2019	Abruzzo	1	0.0	0.0	0.0
252	19/01/2019-25/01/2019	Abruzzo	1	0.0	0.0	0.0
253	26/01/2019-01/02/2019	Abruzzo	1	0.0	0.0	0.0
254	02/02/2019-08/02/2019	Abruzzo	1	0.0	0.0	0.0
255	09/02/2019-15/02/2019	Abruzzo	1	0.0	0.0	0.0
256	16/02/2019-22/02/2019	Abruzzo	1	0.0	0.0	0.0
257	23/02/2019-29/02/2019	Abruzzo	1	1.0	0.0	1.0
258	01/03/2019-07/03/2019	Abruzzo	1	0.0	0.0	0.0
259	08/03/2019-14/03/2019	Abruzzo	1	0.0	0.0	0.0
260	15/03/2019-21/03/2019	Abruzzo	1	0.0	0.0	0.0
261	22/03/2019-28/03/2019	Abruzzo	1	0.0	0.0	0.0
262	29/03/2019-04/04/2019	Abruzzo	1	0.0	0.0	0.0
263	05/04/2019-11/04/2019	Abruzzo	1	0.0	0.0	0.0
264	12/04/2019-18/04/2019	Abruzzo	1	0.0	0.0	0.0
265	19/04/2019-25/04/2019	Abruzzo	1	0.0	0.0	0.0
266	26/04/2019-02/05/2019	Abruzzo	1	0.0	0.0	0.0
267	03/05/2019-09/05/2019	Abruzzo	1	0.0	0.0	0.0
268	10/05/2019-16/05/2019	Abruzzo	1	0.0	0.0	0.0
269	17/05/2019-23/05/2019	Abruzzo	1	0.0	0.0	0.0
270	24/05/2019-30/05/2019	Abruzzo	1	0.0	0.0	0.0
271	31/05/2019-06/06/2019	Abruzzo	1	0.0	0.0	0.0
272	07/06/2019-13/06/2019	Abruzzo	1	0.0	0.0	0.0
273	14/06/2019-20/06/2019	Abruzzo	1	0.0	0.0	0.0
274	21/06/2019-27/06/2019	Abruzzo	1	0.0	0.0	0.0
275	01/01/2020-11/01/2020	Abruzzo	1	0.0	0.0	0.0
276	12/01/2020-18/01/2020	Abruzzo	1	0.0	0.0	0.0
277	19/01/2020-25/01/2020	Abruzzo	1	0.0	0.0	0.0
278	26/01/2020-01/02/2020	Abruzzo	1	0.0	0.0	0.0
279	02/02/2020-08/02/2020	Abruzzo	1	0.0	0.0	0.0
280	09/02/2020-15/02/2020	Abruzzo	1	1.0	0.0	1.0
281	16/02/2020-22/02/2020	Abruzzo	1	0.0	0.0	0.0
282	23/02/2020-29/02/2020	Abruzzo	1	0.0	0.0	0.0
283	01/03/2020-07/03/2020	Abruzzo	1	0.0	0.0	0.0
284	08/03/2020-14/03/2020	Abruzzo	1	0.0	0.0	0.0
285	15/03/2020-21/03/2020	Abruzzo	1	0.0	0.0	0.0
286	22/03/2020-28/03/2020	Abruzzo	1	0.0	0.0	0.0
287	29/03/2020-04/04/2020	Abruzzo	1	0.0	0.0	0.0
288	05/04/2020-11/04/2020	Abruzzo	1	0.0	0.0	0.0
289	12/04/2020-18/04/2020	Abruzzo	1	0.0	0.0	0.0
290	19/04/2020-25/04/2020	Abruzzo	1	0.0	0.0	0.0
291	26/04/2020-02/05/2020	Abruzzo	1	0.0	0.0	0.0
292	03/05/2020-09/05/2020	Abruzzo	1	0.0	0.0	0.0
293	10/05/2020-16/05/2020	Abruzzo	1	0.0	0.0	0.0
294	17/05/2020-23/05/2020	Abruzzo	1	0.0	0.0	0.0
295	24/05/2020-30/05/2020	Abruzzo	1	0.0	0.0	0.0
296	31/05/2020-06/06/2020	Abruzzo	1	0.0	0.0	0.0
297	07/06/2020-13/06/2020	Abruzzo	1	0.0	0.0	0.0
298	14/06/2020-20/06/2020	Abruzzo	1	0.0	0.0	0.0
299	21/06/2020-27/06/2020	Abruzzo	1	0.0	0.0	0.0
300	01/01/2015-11/01/2015	Abruzzo	2	0.0	1.0	1.0
301	12/01/2015-18/01/2015	Abruzzo	2	0.0	0.0	0.0
302	19/01/2015-25/01/2015	Abruzzo	2	0.0	0.0	0.0
303	26/01/2015-01/02/2015	Abruzzo	2	0.0	0.0	0.0
304	02/02/2015-08/02/2015	Abruzzo	2	0.0	0.0	0.0
305	09/02/2015-15/02/2015	Abruzzo	2	0.0	0.0	0.0
306	16/02/2015-22/02/2015	Abruzzo	2	0.0	0.0	0.0
307	23/02/2015-29/02/2015	Abruzzo	2	0.0	0.0	0.0
308	01/03/2015-07/03/2015	Abruzzo	2	0.0	0.0	0.0
309	08/03/2015-14/03/2015	Abruzzo	2	0.0	0.0	0.0
310	15/03/2015-21/03/2015	Abruzzo	2	0.0	0.0	0.0
311	22/03/2015-28/03/2015	Abruzzo	2	0.0	0.0	0.0
312	29/03/2015-04/04/2015	Abruzzo	2	0.0	0.0	0.0
313	05/04/2015-11/04/2015	Abruzzo	2	0.0	0.0	0.0
314	12/04/2015-18/04/2015	Abruzzo	2	0.0	1.0	1.0
315	19/04/2015-25/04/2015	Abruzzo	2	0.0	0.0	0.0
316	26/04/2015-02/05/2015	Abruzzo	2	0.0	0.0	0.0
317	03/05/2015-09/05/2015	Abruzzo	2	0.0	0.0	0.0
