	week	region	age_group	male	female	total
75	08/03/2015-14/03/2015	Abruzzo	1	1.0	0.0	1.0
76	15/03/2015-21/03/2015	Abruzzo	1	2.0	2.0	4.0
77	01/01/2016-11/01/2016	Abruzzo	1	2.0	2.0	4.0
78	12/01/2016-18/01/2016	Abruzzo	1	1.0	1.0	2.0
79	19/01/2016-25/01/2016	Abruzzo	1	1.0	0.0	1.0
80	26/01/2016-01/02/2016	Abruzzo	1	0.0	0.0	0.0
81	02/02/2016-08/02/2016	Abruzzo	1	3.0	2.0	5.0
82	09/02/2016-15/02/2016	Abruzzo	1	1.0	1.0	2.0
83	16/02/2016-22/02/2016	Abruzzo	1	3.0	2.0	5.0
84	23/02/2016-29/02/2016	Abruzzo	1	1.0	3.0	4.0
85	01/03/2016-07/03/2016	Abruzzo	1	3.0	1.0	4.0
86	08/03/2016-14/03/2016	Abruzzo	1	2.0	0.0	2.0
87	15/03/2016-21/03/2016	Abruzzo	1	0.0	0.0	0.0
88	01/01/2017-11/01/2017	Abruzzo	1	1.0	0.0	1.0
89	12/01/2017-18/01/2017	Abruzzo	1	6.0	5.0	11.0
90	19/01/2017-25/01/2017	Abruzzo	1	1.0	1.0	2.0
91	26/01/2017-01/02/2017	Abruzzo	1	1.0	0.0	1.0
92	02/02/2017-08/02/2017	Abruzzo	1	4.0	1.0	5.0
93	09/02/2017-15/02/2017	Abruzzo	1	1.0	1.0	2.0
94	16/02/2017-22/02/2017	Abruzzo	1	1.0	1.0	2.0
95	23/02/2017-29/02/2017	Abruzzo	1	1.0	1.0	2.0
96	01/03/2017-07/03/2017	Abruzzo	1	2.0	1.0	3.0
97	08/03/2017-14/03/2017	Abruzzo	1	0.0	1.0	1.0
98	15/03/2017-21/03/2017	Abruzzo	1	4.0	1.0	5.0
99	01/01/2018-11/01/2018	Abruzzo	1	5.0	1.0	6.0
100	12/01/2018-18/01/2018	Abruzzo	1	1.0	0.0	1.0
101	19/01/2018-25/01/2018	Abruzzo	1	2.0	2.0	4.0
102	26/01/2018-01/02/2018	Abruzzo	1	3.0	3.0	6.0
103	02/02/2018-08/02/2018	Abruzzo	1	4.0	2.0	6.0
104	09/02/2018-15/02/2018	Abruzzo	1	0.0	1.0	1.0
105	16/02/2018-22/02/2018	Abruzzo	1	1.0	1.0	2.0
106	23/02/2018-29/02/2018	Abruzzo	1	0.0	0.0	0.0
107	01/03/2018-07/03/2018	Abruzzo	1	0.0	2.0	2.0
108	08/03/2018-14/03/2018	Abruzzo	1	1.0	2.0	3.0
109	15/03/2018-21/03/2018	Abruzzo	1	3.0	0.0	3.0
110	01/01/2019-11/01/2019	Abruzzo	1	2.0	0.0	2.0
111	12/01/2019-18/01/2019	Abruzzo	1	3.0	0.0	3.0
112	19/01/2019-25/01/2019	Abruzzo	1	3.0	1.0	4.0
113	26/01/2019-01/02/2019	Abruzzo	1	2.0	0.0	2.0
114	02/02/2019-08/02/2019	Abruzzo	1	4.0	1.0	5.0
115	09/02/2019-15/02/2019	Abruzzo	1	1.0	1.0	2.0
116	16/02/2019-22/02/2019	Abruzzo	1	3.0	1.0	4.0
117	23/02/2019-29/02/2019	Abruzzo	1	0.0	1.0	1.0
118	01/03/2019-07/03/2019	Abruzzo	1	1.0	2.0	3.0
119	08/03/2019-14/03/2019	Abruzzo	1	4.0	0.0	4.0
120	15/03/2019-21/03/2019	Abruzzo	1	1.0	0.0	1.0
121	01/01/2020-11/01/2020	Abruzzo	1	3.0	0.0	3.0
122	12/01/2020-18/01/2020	Abruzzo	1	3.0	0.0	3.0
123	19/01/2020-25/01/2020	Abruzzo	1	2.0	5.0	7.0
124	26/01/2020-01/02/2020	Abruzzo	1	1.0	1.0	2.0
125	02/02/2020-08/02/2020	Abruzzo	1	2.0	1.0	3.0
126	09/02/2020-15/02/2020	Abruzzo	1	1.0	0.0	1.0
127	16/02/2020-22/02/2020	Abruzzo	1	2.0	2.0	4.0
128	23/02/2020-29/02/2020	Abruzzo	1	2.0	0.0	2.0
129	01/03/2020-07/03/2020	Abruzzo	1	4.0	0.0	4.0
130	08/03/2020-14/03/2020	Abruzzo	1	2.0	2.0	4.0
131	15/03/2020-21/03/2020	Abruzzo	1	1.0	2.0	3.0
132	01/01/2015-11/01/2015	Abruzzo	2	7.0	1.0	8.0
133	12/01/2015-18/01/2015	Abruzzo	2	4.0	0.0	4.0
134	19/01/2015-25/01/2015	Abruzzo	2	1.0	2.0	3.0
135	26/01/2015-01/02/2015	Abruzzo	2	0.0	2.0	2.0
136	02/02/2015-08/02/2015	Abruzzo	2	4.0	2.0	6.0
137	09/02/2015-15/02/2015	Abruzzo	2	4.0	1.0	5.0
138	16/02/2015-22/02/2015	Abruzzo	2	3.0	1.0	4.0
139	23/02/2015-29/02/2015	Abruzzo	2	2.0	3.0	5.0
140	01/03/2015-07/03/2015	Abruzzo	2	1.0	1.0	2.0
141	08/03/2015-14/03/2015	Abruzzo	2	3.0	1.0	4.0
142	15/03/2015-21/03/2015	Abruzzo	2	2.0	3.0	5.0
143	01/01/2016-11/01/2016	Abruzzo	2	2.0	2.0	4.0
144	12/01/2016-18/01/2016	Abruzzo	2	2.0	2.0	4.0
145	19/01/2016-25/01/2016	Abruzzo	2	3.0	1.0	4.0
146	26/01/2016-01/02/2016	Abruzzo	2	5.0	1.0	6.0
147	02/02/2016-08/02/2016	Abruzzo	2	4.0	0.0	4.0
148	09/02/2016-15/02/2016	Abruzzo	2	4.0	1.0	5.0
